"AOSNUMBER","City","County","State","Agency","Type of LEA","Summary","Type of Juris","Technology","Vendor","Link 1","Link 1 Snapshot","Link 1 Source","Link 1 Type","Link 1 Date","Link 2","Link 2 Snapshot","Link 2 Source","Link 2 Type","Link 2 Date","Link 3","Link 3 Snapshot","Link 3 Source","Link 3 Type","Link 3 Date","Other Links"
"AOS1854","Wailuku","Maui County","HI","Maui Police Department","Police","The Maui Police Department operates one drone as of 2017, according to data compiled by the Center for the Study of the Drone at Bard College.","County","Drones","","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","https://external.ojp.usdoj.gov/selector/awardDetail?awardNumber=2016-DJ-BX-0841&fiscalYear=2016&applicationNumber=2016-H2977-HI-DJ&programOffice=BJA&po=BJA","","external.ojp.usdoj.gov","","","http://mauinow.com/2017/12/29/maui-police-get-funds-for-unmanned-aircraft-systems-program/","","mauinow.com","","",""
"AOS1855","McAllen","Hidalgo County","TX","McAllen Independent School District Police Department","Police","The McAllen Independent School District Police Department operates two DJI drones as of 2017, according to data compiled by the Center for the Study of the Drone at Bard College.","School District","Drones","DJI","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","http://www.themonitor.com/news/local/article_e6e8b702-4336-11e7-a1c8-9723621b6fdf.html","","www.themonitor.com","","","http://www.themonitor.com/news/article_2b2dcef0-8b73-11e7-af7c-d7568d98212c.html#utm_campaign=blox&utm_source=twitter&utm_medium=social","","www.themonitor.com","","",""
"AOS1856","Mcfarland","Dane County","WI","McFarland Police Department","Police","The McFarland Police Department operates one drone, according to data compiled by the Center for the Study of the Drone at Bard College.","Municipal","Drones","","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","https://www.mcfarland.wi.us/SpecializedPoliceUnits#05A1B580-EFBC-4281-95CC-2C59533415F1","","www.mcfarland.wi.us","","","","","","","",""
"AOS1857","Woodstock","McHenry County","IL","McHenry County Sheriff's Office","Sheriff","The McHenry County Sheriff's Office operates one DJI Inspire drone as of 2018, according to data compiled by the Center for the Study of the Drone at Bard College.","County","Drones","DJI","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","http://www.icjia.state.il.us/assets/pdf/drone/Drone_Report_2019.pdf","","www.icjia.state.il.us","","","","","","","",""
"AOS1858","Bloomington","McLean County","IL","McLean County Sheriff's Office","Sheriff","The McLean County Sheriff's Office operates one DJI Phantom drone as of 2017, according to data compiled by the Center for the Study of the Drone at Bard College.","County","Drones","DJI","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","http://www.icjia.state.il.us/assets/pdf/drone/Drone_Report_2019.pdf","","www.icjia.state.il.us","","","","","","","",""
"AOS1859","Medina","Medina County","OH","Medina County Sheriff's Office","Sheriff","The Medina County Sheriff's Office Office operates one drone as of 2013, according to data compiled by the Center for the Study of the Drone at Bard College.","County","Drones","","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","http://www.toledoblade.com/Police-Fire/2015/08/20/Police-drone-use-takes-flight.html","","www.toledoblade.com","","","","","","","",""
"AOS1860","Memorial Villages","‎Harris County‎","TX","Memorial Villages Police Department","Police","The Memorial Villages Police Department operates two DJI drones as of 2018, according to data compiled by the Center for the Study of the Drone at Bard College.","Municipal","Drones","DJI","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","https://www.chron.com/neighborhood/memorial/news/article/Memorial-Villages-police-use-drones-to-manage-13135732.php#photo-15977430","","www.chron.com","","","https://www.click2houston.com/news/investigates/drones-deployed-to-fight-crime-in-houston-neighborhoods","","www.click2houston.com","","",""
"AOS1861","Memphis","Shelby County","TN","Memphis Police Department","Police","The Memphis Police Department operates one drone as of 2016, according to data compiled by the Center for the Study of the Drone at Bard College.","Municipal","Drones","","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","http://www.wmcactionnews5.com/story/35260010/mpd-in-early-stages-of-drone-program","","www.wmcactionnews5.com","","","","","","","",""
"AOS1862","Ukiah","Mendocino County","CA","Mendocino County District Attorney","District Attorney","The Mendocino County District Attorney operates one DJI Matrice 210 drone as of 2019, according to data compiled by the Center for the Study of the Drone at Bard College.","County","Drones","DJI","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","https://www.ukiahdailyjournal.com/2019/07/20/unmanned-aerial-system-assisting-mendocino-county-investigators-first-responders/","","www.ukiahdailyjournal.com","","","","","","","",""
"AOS1863","Ukiah","Mendocino County","CA","Mendocino County Sheriff's Office Search and Rescue","Sheriff","The Mendocino County Sheriff's Office Search and Rescue operates one drone, according to data compiled by the Center for the Study of the Drone at Bard College.","County","Drones","","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","https://www.mendocinosar.org/teams","","www.mendocinosar.org","","","","","","","",""
"AOS1864","Merced","Merced County","CA","Merced County Sheriff's Office","Sheriff","The Merced County Sheriff's Office operates two drones as of 2017, according to data compiled by the Center for the Study of the Drone at Bard College.","County","Drones","","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","","","","","","","","","","",""
"AOS1865","Merced","Merced County","CA","Merced Police Department","Police","The Merced Police Department operates five DJI drones as of 2017, according to data compiled by the Center for the Study of the Drone at Bard College.","Municipal","Drones","DJI","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","http://www.mercedcountytimes.net/editorials/030818_drones.html","","www.mercedcountytimes.net","","","https://cityofmerced.legistar.com/LegislationDetail.aspx?ID=3201340&GUID=F7019C1C-3FA1-4F36-816B-D4B155B9F0D1","","cityofmerced.legistar.com","","",""
"AOS1866","Celina","Mercer County","OH","Mercer County Sheriff's Office","Sheriff","The Mercer County Sheriff's Office operates one Yuneec Typhoon 4K drone as of 2016, according to data compiled by the Center for the Study of the Drone at Bard College.","County","Drones","Yuneec","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","https://www.dailystandard.com/archive/2016-09-07/stories/30317/sheriff-eyeing-drone-for-department","","www.dailystandard.com","","","https://www.dailystandard.com/archive/2018-04-14/stories/34734/eye-in-the-sky-improves-view","","www.dailystandard.com","","",""
"AOS1867","Meriden","New Haven County","CT","Meriden Police Department","Police","The Meriden Police Department operates two DJI drones as of 2020, according to data compiled by the Center for the Study of the Drone at Bard College.","Municipal","Drones","DJI","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","https://www.myrecordjournal.com/News/Meriden/Meriden-News/Meriden-police-fire-departments-train-on-drones.html","","www.myrecordjournal.com","","","","","","","",""
"AOS1868","Meridian","Ada County","ID","Meridian Police Department","Police","The Meridian Police Department operates one drone as of 2017, according to data compiled by the Center for the Study of the Drone at Bard College.","Municipal","Drones","","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","https://www.facebook.com/notes/meridian-police-department-idaho/meridian-police-announce-drone-program/1527180554025357/","","www.facebook.com","","","","","","","",""
"AOS1869","Grand Junction","Mesa County","CO","Mesa County Sheriff's Office","Sheriff","The Mesa County Sheriff's Office operates two Draganfly Innovations drones as of 2009, according to data compiled by the Center for the Study of the Drone at Bard College.","County","Drones","Draganfly Innovations","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","http://sheriff.mesacounty.us/uav/","","sheriff.mesacounty.us","","","https://www.faa.gov/uas/request_waiver/waivers_granted/media/107W-2017-01426_Benjamin_Miller_CoW.pdf","","www.faa.gov","","",""
"AOS1870","Methuen","Essex County","MA","Methuen Police Department","Police","The Methuen Police Department operates one DJI Matrice 210 drone as of 2019, according to data compiled by the Center for the Study of the Drone at Bard College.","Municipal","Drones","DJI","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","https://www.cityofmethuen.net/sites/methuenma/files/uploads/fy2020_methuen_budget_final.pdf","","www.cityofmethuen.net","","","https://www.facebook.com/MethuenPolice/videos/388075255222381/","","www.facebook.com","","",""
"AOS1871","Chicago","Cook County","IL","Metra Police Department","Police","The METRA Police Department operates one drone as of 2019, according to data compiled by the Center for the Study of the Drone at Bard College.","Transit","Drones","","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","https://www.faa.gov/uas/commercial_operators/part_107_waivers/waivers_issued/media/107W-2019-02840_Kevin_Stuehler_CoW.pdf","","www.faa.gov","","","","","","","",""
"AOS1872","Nashville","Davidson County","TN","Metro Nashville Police Department","Police","The Metro Nashville Police Department operates one drone as of 2020, according to data compiled by the Center for the Study of the Drone at Bard College.","Municipal","Drones","","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","https://www.faa.gov/uas/commercial_operators/part_107_waivers/waivers_issued/media/107W-2019-06417_Kenneth_Spencer_CoW.pdf","","www.faa.gov","","","","","","","",""
